2025-05-04 09:50:08,508 | INFO | ulauncher: main() | Ulauncher version 5.15.7
2025-05-04 09:50:08,508 | INFO | ulauncher: main() | Extension API version 2.0.0
2025-05-04 09:50:08,509 | INFO | ulauncher: main() | GTK+ 3.24.49
2025-05-04 09:50:08,509 | INFO | ulauncher: main() | Is Wayland: False
2025-05-04 09:50:08,509 | INFO | ulauncher: main() | Wayland compatibility: off
2025-05-04 09:50:08,531 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2025-05-04 09:50:08,535 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2025-05-04 09:50:08,535 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2025-05-04 09:50:08,535 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2025-05-04 09:50:08,536 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2025-05-04 09:50:08,536 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2025-05-04 09:50:08,536 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2025-05-04 09:50:08,536 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2025-05-04 09:50:08,536 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2025-05-04 09:50:08,537 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2025-05-04 09:50:08,538 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-05-04 09:50:08,538 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-05-04 09:50:08,546 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-05-04 09:50:08,548 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2025-05-04 09:50:08,548 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2025-05-04 09:50:08,564 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2025-05-04 09:50:08,574 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 114 apps in cache
2025-05-04 09:50:08,594 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 114 apps in the system
2025-05-04 09:50:08,594 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.05 seconds
2025-05-04 09:50:08,597 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
